# PLATE   MJD     FIBERID   Z   
7678   57282     642     0.03210584
6701   56367     795     0.23571550000000002
7678   57282     658     0.28714103
5057   56209     260     0.06317682599999999
7678   57282     692     0.049674645
4371   55830     28     0.13181096
4371   55830     40     0.2637954
3615   55445     772     0.2457874
7615   56977     210     0.09796351
6701   56367     930     0.02208775
3692   55186     338     0.04553801
3615   55445     814     0.1645937
3692   55186     374     0.051003005
7615   56977     278     0.08423136
7615   56977     298     0.17394578
6026   56071     278     0.052421555
3692   55186     420     0.039996266
3692   55186     475     0.0075879917
3615   55445     954     0.020972526000000002
7678   57282     932     0.03907475
7678   57282     935     0.24113326
6026   56071     367     0.02898525
4424   55532     808     0.24883354
7678   57282     960     0.06694816
6026   56071     384     0.034026697
6026   56071     400     0.09857547
3615   55856     48     0.05447959
5147   55854     159     0.06072743
3615   55856     90     0.032506562999999995
3615   55856     92     0.23349153
3692   55186     605     0.23046799
3615   55856     115     0.24513343
3615   55856     138     0.21729493
7615   56977     592     0.098115884
6702   56381     324     0.23256752
5973   56067     52     0.025541268
4424   55532     997     0.121464275
4425   55864     18     0.28334713
3615   55856     250     0.005531798
7615   56977     708     0.016916396
3615   55856     284     0.07411260000000001
3615   55856     317     0.29890257
6755   56413     960     0.033240087
3692   55186     830     0.20113176
3615   55856     362     0.10816928
3615   55856     364     0.096198775
3615   55856     368     0.09550709
5973   56067     336     0.27733147
4371   55830     764     0.26637587
3692   55186     955     0.22263964
4371   55830     779     0.08249538
6702   56381     656     0.09935893
3615   55856     517     0.040641132999999996
4371   55830     809     0.22587082
5147   55854     567     0.13367173
7615   56977     984     0.13975795
3615   55856     562     0.14001067
6702   56381     714     0.064164765
5973   56067     446     0.07497415
3615   55856     611     0.16411331
6026   56071     927     0.027755923999999998
6702   56381     777     0.13475281
4371   55830     922     0.15343954
3615   55856     637     0.19234435
3615   55856     638     0.3190107
5147   55854     732     0.049273957
6702   56381     946     0.028204043999999998
3615   55856     808     0.16460896
4425   55864     495     0.09667888
6756   56426     382     0.09882664
4425   55864     516     0.03757711
5058   56208     437     0.06777148
7679   57367     693     0.04077396
6703   56636     20     0.24887508
6027   56103     132     0.06001466
4372   55541     200     0.073441975
4425   55864     595     0.26306105
4372   55541     214     0.06938243
4425   55864     608     0.26718184
4372   55541     240     0.08832426
4425   55864     666     0.039931997999999996
3615   55856     980     0.02098478
5973   56067     870     0.024600277
7616   56902     458     0.057772867
3615   56219     50     0.05444441
7679   57367     879     0.27567440000000004
3615   56219     90     0.032476764
3615   56219     94     0.23344518
7616   56902     542     0.03048927
3615   56219     113     0.24520695
7679   57367     930     0.26558003
5058   56208     695     0.095937446
4372   55541     412     0.13170141
4372   55541     419     0.26380727
3615   56219     138     0.21727434
7679   57367     960     0.032503627
6756   56426     678     0.12365607
3615   56219     166     0.21751201
6027   56103     414     0.17932406
3693   55208     560     0.002003196
6703   56636     334     0.063536756
3693   55208     586     0.12731087
6027   56103     448     0.072175905
7616   56902     666     0.19646509
4372   55541     529     0.15278141
3615   56219     250     0.005572268000000001
7681   57042     57     0.045453135
7616   56902     702     0.055945925
3615   56219     294     0.0741266
7616   56902     739     0.19111615
7681   57042     103     0.30602437
3615   56219     317     0.29887357
3615   56219     346     0.20647806
5058   56208     933     0.10411072
3615   56219     372     0.10819226
3615   56219     374     0.09550629599999999
3615   56219     392     0.07216447
6703   56636     557     0.0033314861
5974   56314     316     0.022614235
4372   55541     762     0.078796245
3615   56219     513     0.040598888
4372   55541     812     0.013645398999999999
3615   56219     532     0.113433585
3693   55208     925     0.23223868
3615   56219     564     0.1400835
3615   56219     607     0.3057533
3615   56219     609     0.1641164
7617   56949     49     0.014992315
6027   56103     886     0.07128265
7681   57042     489     0.034116834
3694   55209     56     0.023808895
7681   57042     522     0.19630815
4372   55541     960     0.18881543
7681   57042     530     0.086755104
3694   55209     105     0.27181134
3694   55209     109     0.07569026
3615   56219     746     0.14903405
7681   57042     610     0.3064917
3615   56219     776     0.24578966
6757   56416     344     0.16594444
5148   56220     774     0.004395244
7681   57042     643     0.038982525
3694   55209     211     0.19423813
4373   55811     89     0.14042237
3615   56219     810     0.16456681
5059   56190     410     0.0858151
6757   56416     428     0.029730002999999998
7617   56949     288     0.30126435
6757   56416     480     0.16591470000000003
7617   56949     336     0.14081416
6757   56416     520     0.055893477000000004
6757   56416     546     0.029906241
4373   55811     230     0.07567798
7681   57042     848     0.26058602
6028   56102     280     0.07500114
3615   56219     978     0.02097273
7617   56949     425     0.24583603
6028   56102     305     0.077024266
6757   56416     598     0.23735932
7617   56949     448     0.13255262
7681   57042     892     0.038974732000000005
3615   56544     48     0.054516442000000005
6028   56102     384     0.1239611
3615   56544     98     0.23352073
3615   56544     100     0.032494422
3615   56544     119     0.24513733
3615   56544     122     0.2331792
6757   56416     725     0.19689684
3615   56544     134     0.21727706
6028   56102     459     0.30919152
6757   56416     766     0.20988669
3694   55209     616     0.15107843
6757   56416     774     0.064009316
7682   57415     76     0.02747778
7682   57415     86     0.062423545999999996
6028   56102     550     0.12500471
6704   56388     378     0.13908193
6028   56102     588     0.03013346
6704   56388     406     0.28873047
3615   56544     258     0.0055333953000000005
3694   55209     754     0.21490374
3615   56544     282     0.07412838
4373   55811     617     0.22180878
6757   56416     972     0.23420647
3694   55209     821     0.05093981
3615   56544     348     0.20653145
7617   56949     798     0.14093474
3615   56544     362     0.10817244
3615   56544     374     0.09550931
3615   56544     376     0.09619015
3615   56544     398     0.07214901
3694   55209     904     0.18101498
3694   55209     930     0.14188969
7617   56949     892     0.27873448
7617   56949     924     0.18619642
4373   55811     774     0.06490893
4373   55811     775     0.14140531
3615   56544     531     0.04062404
3615   56544     542     0.11340835
6704   56388     706     0.055463507999999995
3615   56544     568     0.2169317
5149   55944     591     0.025998313
3615   56544     582     0.14007977
5149   55944     606     0.026452936
7618   56898     51     0.079546645
3615   56544     617     0.19232963
3615   56544     621     0.16414236
3615   56544     633     0.30574012
5149   55944     673     0.0837881
5060   56181     249     0.07565668
3695   55212     116     0.18122461
5149   55944     703     0.20606755
7618   56898     153     0.056169417
7682   57415     586     0.053945158
6704   56388     884     0.13868232
5060   56181     309     0.17764702
7618   56898     182     0.08062265
7682   57415     607     0.067186356
7618   56898     187     0.14025520000000002
4427   56107     461     0.14227971
7618   56898     193     0.14042912
7682   57415     624     0.14939208
3615   56544     758     0.14892522
7618   56898     200     0.08145401599999999
7682   57415     630     0.2748297
3695   55212     192     0.14150731
3695   55212     218     0.26277095
3615   56544     796     0.24577716
7618   56898     264     0.10305081
3615   56544     826     0.16462213
7618   56898     276     0.3032887
6029   56099     143     0.11566559
4427   56107     581     0.05936458
6705   56636     40     0.035907164
5149   55944     900     0.028545419
4374   55883     223     0.06879928
4374   55883     234     0.052616935
3615   56544     960     0.020994669
